Date,GDP,CPI,DDS,DDB
2001-02-01,-0.002549216,0.097433602,-0.087824935,0.17231435
2001-03-01,-0.084529768,0.115987689,-0.1564796,0.188174067
2001-04-01,-0.166322422,0.098863041,-0.227467332,-0.0060379
2001-05-01,-0.12325922,0.081737026,-0.178729296,-0.031520106
2001-06-01,-0.120772437,0.087184839,-0.169088802,-0.029533754
2001-07-01,-0.14357631,0.08543678,-0.182624998,-0.022156367
2001-08-01,-0.164812012,0.109964999,-0.20165203,0.157692152
2001-09-01,-0.164749125,0.107755485,-0.209512601,0.166443282
2001-10-01,-0.277174771,0.127603293,-0.322448523,0.160010072
2001-11-01,-0.245221447,0.140023774,-0.29734946,0.202481873
2001-12-01,-0.180557059,0.09786848,-0.243783506,-0.0506699
2002-01-01,-0.142313922,0.082650986,-0.217824878,-0.067923025
2002-02-01,-0.126705767,0.074509558,-0.21716388,-0.05673167
2002-03-01,-0.125941464,0.043000235,-0.229084715,-0.045019107
2002-04-01,-0.077184216,0.043104212,-0.195206159,-0.081846895
2002-05-01,-0.065241439,0.040148056,-0.198614943,-0.047554795
2002-06-01,-0.069004985,0.052146581,-0.214340243,-0.043838449
2002-07-01,-0.115172759,0.064979768,-0.263448312,-0.027038595
2002-08-01,-0.169463753,0.097531173,-0.323722322,0.101940932
2002-09-01,-0.149888759,0.118646391,-0.32273147,0.135801596
2002-10-01,-0.225862181,0.104955227,-0.395331489,0.174612246
2002-11-01,-0.178608801,0.109530212,-0.363461365,-0.028372
2002-12-01,-0.117424895,0.132344546,-0.315137426,-0.037846247
2003-01-01,-0.149158711,0.150155794,-0.344046749,0.159931895
2003-02-01,-0.168590825,0.178605343,-0.361199293,-0.005758
2003-03-01,-0.183164111,0.169977386,-0.373702575,0.177259577
2003-04-01,-0.189507526,0.157117436,-0.379594669,-0.0136513
2003-05-01,-0.087940473,0.197819944,-0.306767688,-0.003299472
2003-06-01,-0.033010157,0.222446625,-0.265139784,0.232935159
2003-07-01,-0.005639451,0.172671161,-0.246863408,-0.018037
2003-08-01,0.039104043,0.148472261,-0.228721741,-0.116027972
2003-09-01,0.091000071,0.138524736,-0.206090693,-0.104484181
2003-10-01,0.128439896,0.119619704,-0.189901851,-0.051279079
2003-11-01,0.212754389,0.089872298,-0.143315209,-0.080022097
2003-12-01,0.247469854,0.084497631,-0.139499488,-0.076880924
2004-01-01,0.378614984,0.082278385,-0.073173861,-0.064454265
2004-02-01,0.428658453,0.080049478,-0.063139457,-0.047046097
2004-03-01,0.480399067,0.083250408,-0.035622902,-0.025292542
2004-04-01,0.46442906,0.0798102,-0.037447255,-0.011537373
2004-05-01,0.384758989,0.054258961,-0.079307598,-0.073158825
2004-06-01,0.365328445,0.04178159,-0.069478789,-0.075555266
2004-07-01,0.375686987,0.039319373,-0.040769785,-0.0657837
2004-08-01,0.31431412,0.048036143,-0.067103577,-0.051482623
2004-09-01,0.289896033,0.06714389,-0.058543184,-0.011975641
2004-10-01,0.28982073,0.079237294,-0.030002845,-0.002598994
2004-11-01,0.266054162,0.091551784,-0.009827699,0.084406345
2004-12-01,0.295494315,0.106920388,0.295494315,-0.0239322
2005-01-01,0.305492072,0.122288862,0.305492072,0.080079959
2005-02-01,0.252164965,0.142328119,-0.014875651,0.119996273
2005-03-01,0.2747411,0.129125659,0.2747411,-0.0147156
2005-04-01,0.194977474,0.131197293,-0.045616203,-0.019194013
2005-05-01,0.152154056,0.153484222,-0.062845112,0.13803299
2005-06-01,0.164360574,0.160468646,-0.040175844,0.173765592
2005-07-01,0.180905266,0.17064734,-0.017617224,0.190529947
